Base Scenario

Inputs
"class_dist,home_access_dist,home_power_dist,pev_dist,pref_dist,work_power_dist,res_charging,work_charging,temp_c,mean_dvmt,fleet_size,format"
"Sedan,HA100,Equal,EQUAL,Home100,MostL2,min_delay,min_delay,20,35,1000,json"

Weekday Load Profile
home_l1
"257.09,256.16,255.46,246.99,236.21,227.7,222.24,214.16,206.76,200.68,193.49,183.62,175.35,163.04,154.81,152.08,145.83,135.02,120.73,113.32,110.96,103.99,95.04,90.54,82.5,75.94,70.34,60.14,52.04,46.79,39.78,39.56,38.06,33.37,28.51,26.6,21.82,20.33,21.38,28,30.39,29.93,26.91,28.47,29.4,31.26,32.46,32.42,39.43,44.17,52.04,52.39,54.45,53.01,54.83,59.04,64.49,73.36,80.02,85.49,94.86,118.52,130.61,141.79,163.22,164.65,177.7,194.74,212.1,230.38,248.04,258.31,277.05,287.22,297.06,294.38,293.09,298.89,300.63,304.44,307.03,316.37,324.37,319.91,320.52,325.32,327.29,331.48,333.62,330.73,324.73,317.33,320.5,307.56,293.45,284.72"
home_l2
"192.39,159.31,133.81,94.93,83.33,65,33.73,33.53,29.95,30.6,43.13,42,37.68,30.6,27.47,21.6,21.6,18.09,12.06,7.18,3.6,3.6,3.6,0.55,0,0,0,0,0,0,0,9,10.03,1.06,13.2,23.59,21.64,24,36.34,33.6,52.45,65.13,68.47,64.47,66.52,37.86,61.14,65.94,63.08,66.15,91.83,112.7,136.98,137.93,138.23,126.38,123.2,116.61,118.01,150.27,172.91,221.5,276.83,272.86,308.04,334.39,335.31,329.39,385.11,504.37,576.63,601.88,627.61,673.83,712.3,705.61,641.42,585.82,529.57,491.67,478.16,474.6,427.01,416.14,455.36,439.23,411.22,397.05,409.78,411.22,418.95,363.47,325.43,308.15,271.54,232.35"
work_l1
"5.6,5.6,5.6,5.6,5.6,4.89,4.2,4.2,4.2,4.2,4.2,4.2,4.2,2.87,2.8,2.76,1.4,1.4,1.4,1.87,2.8,2.8,2.8,2.8,2.8,2.8,4.39,7,12.78,14,14,14,13.9,12.6,12.6,13.73,19.13,19.6,20.42,18.2,16.84,16.8,16.8,16.8,17.14,16.8,16.8,14.85,11.67,12.13,12.6,14,15.4,14,14.37,14,14,13.84,12.6,12.6,12.6,11.74,9.8,9.8,9.8,9.15,8.37,7.47,7,6.53,2.8,2.8,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,5.13,5.6,5.6,5.6,5.6"
work_l2
"3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,6.48,7.2,7,3.6,3.6,3.6,1.04,2.88,7.2,7.2,7.2,7.2,10.99,10.8,10.8,12.72,25.2,28.8,33.69,45.52,73.56,78.4,91.7,114.35,141.89,160,168.41,160.21,166.84,172.11,189,183.49,173.54,158.67,136.58,121.43,112.93,95.59,79.46,50.08,53.2,60.23,52.89,56.2,70.98,46.52,32.42,29.97,28.55,28.4,24.18,31.12,63.88,60.86,45.44,35.55,39.77,38.4,36.65,42.8,48.69,49.69,33.07,32.32,28.52,20.61,17.4,17.4,20.36,14.84,13.8,18.36,10.48,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,2.64,3.6,3.6,3.6,3.6,3.6"
public_l2
"7.2,7.2,7.2,6.12,3.6,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,3.6,0.77,6.6,6.6,6.55,4.4,6.6,11,26.54,23.42,41.2,55.82,64.68,86.87,75.21,73.08,83.61,86.92,73.83,83.84,97.67,77.33,86.25,110.31,145.7,138.22,104.03,91,75.73,79.96,75.1,66.41,87.15,88.58,90.74,95.03,88.08,72.2,64.82,88.76,96.69,108.43,103.11,112.87,90,88.79,71.64,61.17,64.92,57.6,75.92,84.96,97.44,97.62,91.51,83.32,102.88,130.93,134.4,127.28,109.06,92.94,85.35,63.66,67.14,54.18,50.4,50.4,46.69,48,34.49,17.94,14.4,14.4,11.02,9.07"
public_l3
"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,49.99,37.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.33,46.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
Weekend Load Profile
home_l1
"249.19,240.48,230.58,223.67,219.23,217.64,213.28,206.86,205,198.35,190.12,183.78,171.59,164.13,160.47,152.12,144.6,141.11,133.47,125.27,116.17,110.83,106.78,99.95,84.31,78.11,70.86,65.08,61.42,60.15,58.14,55.91,52.33,49.7,48.9,46.45,47.02,49.47,54.87,52.3,46.82,50.46,51.9,54.4,57.63,61.48,59.43,61.84,71.51,75.61,78.73,91.08,97.95,101.19,101.69,91.15,94.72,108.32,121.38,127.94,133.51,135.5,134.86,143.54,157.7,171.23,181.21,189.99,195.48,190.85,194.4,200.39,209.2,209.92,215.66,218.32,225.24,223.25,235.42,235.22,243.12,253.37,257.82,262.05,270.7,274.45,281.7,280.61,281.37,282.98,281.56,278.4,275.78,266.77,266.88,265.02"
home_l2
"211.44,182.89,180.15,162.54,146.5,126.62,104.59,83.04,58.38,52.24,50.12,51.84,39.61,39.6,35.75,30.6,27.15,19.63,7.91,7.2,4.1,2.8,0,0,0,0,9,13.92,11.85,9.48,12.6,15,16.2,19.2,34.5,21.6,30.8,20.62,20.4,22,23.87,36,50.65,67.81,102.35,102.35,99.52,112.63,132.66,133.09,146.84,134.87,161.86,153.7,184.32,176.81,186.39,173.95,238.44,235.95,271.23,250.99,258.08,237.24,277.72,296.22,344.87,348.46,343.54,378.66,402.14,400.4,412.41,446.84,435.17,443.97,444.95,422.83,461.2,474.06,455.93,458.01,426.13,426.7,411.69,411.11,413.16,451.14,450.07,392.49,345.52,326.04,320.49,280.62,248.91,227.4"
work_l1
"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.87,4.2,4.2,4.2,2.8,2.8,2.8,2.8,2.51,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
work_l2
"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.12,13.8,13.8,8.65,7.2,3.9,11.6,17.4,17.4,26.42,24.6,30.36,31.51,31.8,31.8,38.4,42,39.7,32.13,30.33,36,38.56,33.09,27.6,29.63,31.68,30.85,20.12,21.6,21.6,19.9,19.27,21,19.04,12.9,7.2,10.8,10.8,10.8,10.8,10.8,10.28,7.2,12,11.37,12.79,10.8,11.74,10.8,7.2,6.1,5.8,7.32,7.2,8.69,6.77,7.2,7.2,6,3.6,0.38,0,0,0,0,3.6,3.6,3.6,3.6,3.6,3.6,0.94,0,0,0,0,0"
public_l2
"41.4,35.75,31.2,28.92,24,24,18.94,16.8,16.8,16.8,15.31,10.2,4.99,3.6,0.89,0,0,0,0,0,0,0,0,0,3.6,3.6,3.6,3.6,21.6,28.48,54.8,68,74.21,82.52,96.44,88.16,105.61,115.17,113.72,121.2,131.02,129.48,143.09,139.33,173.59,176.61,159.33,155.71,170.39,152.73,145.97,149.12,143.63,155.72,160.71,168.23,159.72,154.12,147.57,154.79,167.79,173.4,169.77,169.08,161.21,161.43,135.71,110.09,125.75,152.91,160.01,165.28,173.4,171.92,188.09,189.94,184.36,173.49,175.67,173.12,168.15,152.57,116.38,106.12,90.07,86.83,91.92,91.78,63.36,51.77,40.2,34.8,29.55,24.66,40.2,41.4"
public_l3
"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.5,20.51,45.6,42.79,16.3,0,0,0,0,0,0,0,0,0.01,20.5,20.5,8.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"

Scenario 2

Inputs
"class_dist,home_access_dist,home_power_dist,pev_dist,pref_dist,work_power_dist,res_charging,work_charging,temp_c,mean_dvmt,fleet_size,format"
"Sedan,HA100,Equal,EQUAL,Home100,MostL2,min_delay,min_delay,20,35,1000,json"

Weekday Load Profile
home_l1
"257.09,256.16,255.46,246.99,236.21,227.7,222.24,214.16,206.76,200.68,193.49,183.62,175.35,163.04,154.81,152.08,145.83,135.02,120.73,113.32,110.96,103.99,95.04,90.54,82.5,75.94,70.34,60.14,52.04,46.79,39.78,39.56,38.06,33.37,28.51,26.6,21.82,20.33,21.38,28,30.39,29.93,26.91,28.47,29.4,31.26,32.46,32.42,39.43,44.17,52.04,52.39,54.45,53.01,54.83,59.04,64.49,73.36,80.02,85.49,94.86,118.52,130.61,141.79,163.22,164.65,177.7,194.74,212.1,230.38,248.04,258.31,277.05,287.22,297.06,294.38,293.09,298.89,300.63,304.44,307.03,316.37,324.37,319.91,320.52,325.32,327.29,331.48,333.62,330.73,324.73,317.33,320.5,307.56,293.45,284.72"
home_l2
"192.39,159.31,133.81,94.93,83.33,65,33.73,33.53,29.95,30.6,43.13,42,37.68,30.6,27.47,21.6,21.6,18.09,12.06,7.18,3.6,3.6,3.6,0.55,0,0,0,0,0,0,0,9,10.03,1.06,13.2,23.59,21.64,24,36.34,33.6,52.45,65.13,68.47,64.47,66.52,37.86,61.14,65.94,63.08,66.15,91.83,112.7,136.98,137.93,138.23,126.38,123.2,116.61,118.01,150.27,172.91,221.5,276.83,272.86,308.04,334.39,335.31,329.39,385.11,504.37,576.63,601.88,627.61,673.83,712.3,705.61,641.42,585.82,529.57,491.67,478.16,474.6,427.01,416.14,455.36,439.23,411.22,397.05,409.78,411.22,418.95,363.47,325.43,308.15,271.54,232.35"
work_l1
"5.6,5.6,5.6,5.6,5.6,4.89,4.2,4.2,4.2,4.2,4.2,4.2,4.2,2.87,2.8,2.76,1.4,1.4,1.4,1.87,2.8,2.8,2.8,2.8,2.8,2.8,4.39,7,12.78,14,14,14,13.9,12.6,12.6,13.73,19.13,19.6,20.42,18.2,16.84,16.8,16.8,16.8,17.14,16.8,16.8,14.85,11.67,12.13,12.6,14,15.4,14,14.37,14,14,13.84,12.6,12.6,12.6,11.74,9.8,9.8,9.8,9.15,8.37,7.47,7,6.53,2.8,2.8,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,5.13,5.6,5.6,5.6,5.6"
work_l2
"3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,6.48,7.2,7,3.6,3.6,3.6,1.04,2.88,7.2,7.2,7.2,7.2,10.99,10.8,10.8,12.72,25.2,28.8,33.69,45.52,73.56,78.4,91.7,114.35,141.89,160,168.41,160.21,166.84,172.11,189,183.49,173.54,158.67,136.58,121.43,112.93,95.59,79.46,50.08,53.2,60.23,52.89,56.2,70.98,46.52,32.42,29.97,28.55,28.4,24.18,31.12,63.88,60.86,45.44,35.55,39.77,38.4,36.65,42.8,48.69,49.69,33.07,32.32,28.52,20.61,17.4,17.4,20.36,14.84,13.8,18.36,10.48,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,2.64,3.6,3.6,3.6,3.6,3.6"
public_l2
"7.2,7.2,7.2,6.12,3.6,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,3.6,0.77,6.6,6.6,6.55,4.4,6.6,11,26.54,23.42,41.2,55.82,64.68,86.87,75.21,73.08,83.61,86.92,73.83,83.84,97.67,77.33,86.25,110.31,145.7,138.22,104.03,91,75.73,79.96,75.1,66.41,87.15,88.58,90.74,95.03,88.08,72.2,64.82,88.76,96.69,108.43,103.11,112.87,90,88.79,71.64,61.17,64.92,57.6,75.92,84.96,97.44,97.62,91.51,83.32,102.88,130.93,134.4,127.28,109.06,92.94,85.35,63.66,67.14,54.18,50.4,50.4,46.69,48,34.49,17.94,14.4,14.4,11.02,9.07"
public_l3
